"folderName","anyInserted","anyDeleted","getMovedSrcs","UpdatedSrcs","insertedIfConditions","deletedIfStmts","elseInserted","elseDeleted","AnythingInLineMoved","AnythingInLineUpdated","AnythingInLineDeleted","AnythingMovedIntoLine","AnythingInsertedIntoLine","EntireLineMoved","EntireLineDeleted","stringsUpdated","magicStringsReplaced","MovedBlocksInIfConditions","AddedOrUpdatedComments","InsertedAssertConditions","InsertedTryCatch","UpdatedValueAssignments","RemovedTryCatch","UpdatedFuncArguments","hasOldFile","hasNewFile","numOldFiles","numNewFiles","isDupe","error"
"9fdfeff1_b2f6d1d6","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","1","1","1","0",
"3fce034c_84a2b34a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"3f79a3b5_30d29f60","7","1","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"ffb9cba7_d479282f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_52a8c576","0","4","43","1","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_32e82eb2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_6d014b38","1","2","76","0","0","0","0","0","1","0","0","9","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_88623409","8","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0","0","2","0","0","1","1","1","1","0",
"dfd5e7cf_ef6ca237","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_6594f736","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_ad2ecaf5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_4fb9c0c9","0","150","11","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_9abf1fa9","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1","0",
"9fdfeff1_13a60755","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_cfd130fd","0","31","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_8c5fa64a","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_5cffc166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_ed28fc33","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_c0d99d53","0","14","5","0","0","0","0","0","1","0","0","5","14","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_77214dfc","74","83","69","8","0","0","0","0","1","0","0","11","0","0","0","1","0","0","6","0","0","1","0","2","1","1","1","1","0",
"9fdfeff1_bf404309","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_2e1aeb16","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","8","0","0","5","0","0","1","1","1","1","0",
"9fdfeff1_249fec50","10","1","30","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_f33708e3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_ac27b112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_873486d8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_eedbaa48","0","41","68","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_45f3066f","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"3f79a3b5_6b78fef4","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"bfdaf3ff_bdba6107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"5fc1f717_44c5ab3c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_e8983c6b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_06602ca5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"3f79a3b5_7ab36dec","0","20","4","1","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_5141b4a5","0","95","10","0","0","0","0","3","0","0","2","0","0","0","1","3","0","0","0","0","0","0","0","6","1","1","1","1","0",
"5fc1f717_13bcf903","0","65","14","2","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_37d665f3","1","1","26","1","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_a87474d1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_8d55b052","4","46","137","13","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_ee37cd4a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_9fe0dffa","0","56","58","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_125be488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"ffb9cba7_a90bd97a","8","8","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
